Datetime,CPU,RSS,VMSize,Read,Write,Annotation,,,
2022-08-11 06-30-55,1092.0855,35598569472,43411124224,36864,4096,,,,
2022-08-11 06-30-59,1110.415551,35599069184,43415588864,36864,8192,,,,
2022-08-11 06-31-02,1139.151505,35599708160,43413749760,4096,4096,,,,
2022-08-11 06-31-06,1097.731483,35599843328,43414011904,36864,4096,,,,
2022-08-11 06-31-09,1100.604055,35599880192,43414536192,36864,4096,,,,
2022-08-11 06-31-13,1090.582134,35720421376,43537788928,4096,4096,,,,
2022-08-11 06-31-17,1057.087056,35738161152,43516071936,4096,4096,,,,
2022-08-11 06-31-20,967.322717,35739697152,43533144064,36864,4096,,,,
2022-08-11 06-31-23,879.4824871,35740086272,43539935232,36864,4096,,,,
2022-08-11 06-31-27,1000.691925,35740372992,43548602368,36864,4096,,,,
2022-08-11 06-31-30,935.9996603,35740643328,43555168256,4096,4096,,,,
2022-08-11 06-31-34,1003.675163,35741102080,43557531648,4096,4096,,,,
